Company Name,Job Title,Salary,Min salary,Max salary,Fourchette
OneWeb Satellites,Data Engineer - Stagiaire mensuel,751 -809,751,809,751 - 809 Fourchette
Mangrove,Data Engineer,39k -43k,39k,43k,38764 - 42573 Fourchette
Software Factory,Data Engineer,45k -49k,45k,49k,45169 - 49045 Fourchette
Amazon,Data Engineer - Contrat temporaire,54k -59k,54k,59k,54276 - 58841 Fourchette
Datapy,Data Engineer,53k -57k,53k,57k,53120 - 56769 Fourchette
The Boston Consulting Group,Data Engineer,51k -56k,51k,56k,51083 - 55639 Fourchette
BiGapps Interactive,Data Engineer,40k -43k,40k,43k,39991 - 43039 Fourchette
Sully Group,Data Engineer,43k -47k,43k,47k,42770 - 46636 Fourchette
Prisma Media,Data Engineer,51k -55k,51k,55k,51222 - 55125 Fourchette
Néo-Soft Groupe,Data Engineer,37k -40k,37k,40k,37444 - 40089 Fourchette
Groupe SeLoger,Data Engineer - Stagiaire mensuel,1k -2k,1k,2k,1426 - 1548 Fourchette
Air Liquide,Data Engineer - Contrat temporaire,72k$US -77k$US,72k$US,77k$US,71584$US - 77489$US Fourchette
Youth Brain,Data Engineer,40k -44k,40k,44k,40360 - 43509 Fourchette
SQLI,Data Engineer - Mensuel,1k -1k,1k,1k,1056 - 1146 Fourchette
Evoteo,Data Engineer,32k -34k,32k,34k,31806 - 34250 Fourchette
KMTX,Data Engineer,46k -50k,46k,50k,46498 - 50487 Fourchette
Keolis,Data Engineer,61k -66k,61k,66k,61359 - 65931 Fourchette
Ciblo,Data Engineer,46k -50k,46k,50k,45645 - 50226 Fourchette
Amiltone,Data Engineer,31k -34k,31k,34k,31348 - 33879 Fourchette
Delair,Data Engineer,43k -46k,43k,46k,42728 - 46041 Fourchette
Schneider Electric,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1247 - 1363 Fourchette
Actimage,Data Engineer,44k -47k,44k,47k,43714 - 47152 Fourchette
The Independent Calculation Agent,Data Engineer,40k -44k,40k,44k,40412 - 43646 Fourchette
Easyence,Data Engineer,52k -56k,52k,56k,52320 - 55933 Fourchette
Voodoo,Data Engineer,62k -67k,62k,67k,61592 - 66665 Fourchette
Murex,Data Engineer - Stagiaire mensuel,2k -2k,2k,2k,2030 - 2187 Fourchette
Zenly,Data Engineer,77k -83k,77k,83k,77094 - 83038 Fourchette
BBDO,Data Engineer - Horaire,26$US -28$US,26$US,28$US,26$US - 28$US Fourchette
Adevinta,Data Engineer,47k -51k,47k,51k,46686 - 50621 Fourchette
Orange,Data Engineer - Mensuel,2k -2k,2k,2k,1634 - 1758 Fourchette
Apgar Consulting,Data Engineer,40k -43k,40k,43k,39726 - 42810 Fourchette
FairMoney,Data Engineer,67k -73k,67k,73k,66870 - 73151 Fourchette
MP DATA,Data Engineer,47k -51k,47k,51k,46524 - 51051 Fourchette
TeamWork Corporate,Data Engineer,45k -49k,45k,49k,44959 - 49056 Fourchette
Bouygues Telecom,Data Engineer,35k -38k,35k,38k,35224 - 37990 Fourchette
Ad Scientiam,Data Engineer,42k -45k,42k,45k,41543 - 45033 Fourchette
Sanofi,Data Engineer,40k -43k,40k,43k,39798 - 43259 Fourchette
Hardis Group,Data Engineer,38k -41k,38k,41k,38388 - 41222 Fourchette
Belo,Data Engineer,39k -42k,39k,42k,38752 - 42199 Fourchette
Sodexo,Data Engineer,43k -46k,43k,46k,42633 - 45587 Fourchette
AXA / France,Data Engineer,57k -62k,57k,62k,57098 - 61867 Fourchette
Ministère de la Défense,Data Engineer - Contrat temporaire,42k -46k,42k,46k,42402 - 46326 Fourchette
BNP Paribas,Data Engineer - Mensuel,2k -3k,2k,3k,2306 - 2512 Fourchette
5 Degrés,Data Engineer,41k -44k,41k,44k,40807 - 44034 Fourchette
Infor,Data Engineer,54k$US -58k$US,54k$US,58k$US,53729$US - 58081$US Fourchette
Advitam,Data Engineer,41k -44k,41k,44k,40703 - 44252 Fourchette
Innovafeed,Data Engineer,45k -49k,45k,49k,44872 - 49127 Fourchette
Smile Group,Data Engineer,40k -43k,40k,43k,39669 - 42936 Fourchette
ekino,Data Engineer,41k -45k,41k,45k,41143 - 44555 Fourchette
Groupe Fortil,Data Engineer,33k -36k,33k,36k,33395 - 35911 Fourchette
Brand & Consumer Technologies,Data Engineer,51k -55k,51k,55k,50840 - 54810 Fourchette
Bpifrance,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1205 - 1319 Fourchette
Groupe Bouygues,Data Engineer,53k$US -57k$US,53k$US,57k$US,52692$US - 57097$US Fourchette
Business Immo,Data Engineer - Mensuel,3k -4k,3k,4k,3491 - 3776 Fourchette
onepoint,Data Engineer - Stagiaire mensuel,2k -2k,2k,2k,1538 - 1662 Fourchette
Infopro Digital,Data Engineer,57k -62k,57k,62k,57470 - 61886 Fourchette
Accenture,Data Engineer - Stagiaire mensuel,1k -2k,1k,2k,1492 - 1630 Fourchette
MLMConseil,Data Engineer,39k -42k,39k,42k,39054 - 41860 Fourchette
Safra National Bank of New York,Data Engineer,41k -43k,41k,43k,40664 - 43491 Fourchette
WeMaintain,Data Engineer,46k -50k,46k,50k,45850 - 50321 Fourchette
Startup,Data Engineer,56k -61k,56k,61k,55620 - 60749 Fourchette
Decathlon,Data Engineer - Stagiaire mensuel,926 -995,926,995,926 - 995 Fourchette
Generali,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1063 - 1155 Fourchette
Algolia,Data Engineer,65k -71k,65k,71k,64616 - 71041 Fourchette
Proxiad,Data Engineer,43k -47k,43k,47k,43459 - 47050 Fourchette
Baobab,Data Engineer,48k -51k,48k,51k,47775 - 51439 Fourchette
Organisation for Economic Co-operation and Development,Data Engineer - Stagiaire mensuel,715 -776,715,776,715 - 776 Fourchette
TotalEnergies,Data Engineer - Contrat temporaire mensuel,3k -3k,3k,3k,2604 - 2810 Fourchette
Linkt,Data Engineer,44k -48k,44k,48k,44409 - 48112 Fourchette
DataDome,Data Engineer,41k -45k,41k,45k,41049 - 44612 Fourchette
Schlumberger,Data Engineer,10k -11k,10k,11k,10301 - 11144 Fourchette
Crédit Mutuel Arkea,Data Engineer,43k -46k,43k,46k,43230 - 46271 Fourchette
360° Fahrenheit,Data Engineer,28k -30k,28k,30k,27887 - 30349 Fourchette
TravelCar (France),Data Engineer,46k -50k,46k,50k,46119 - 49733 Fourchette
Adthink,Data Engineer,32k -35k,32k,35k,32033 - 34629 Fourchette
Dashlane,Data Engineer,49k -54k,49k,54k,49498 - 53575 Fourchette
ONE2TEAM,Data Engineer,43k -47k,43k,47k,43349 - 46957 Fourchette
Meetic,Data Engineer,52k$US -57k$US,52k$US,57k$US,51826$US - 56530$US Fourchette
SoftBank Robotics,Data Engineer,45k -49k,45k,49k,45001 - 48651 Fourchette
Featway,Data Engineer - Stagiaire mensuel,2k -3k,2k,3k,2487 - 2718 Fourchette
Ministère de l'Éducation nationale,Data Engineer,46k -49k,46k,49k,45611 - 49035 Fourchette
Lincoln,Data Engineer,39k -43k,39k,43k,38877 - 42683 Fourchette
QuantCube Technology,Data Engineer,55k -60k,55k,60k,54978 - 59882 Fourchette
Boursorama,Data Engineer - Stagiaire mensuel,2k -2k,2k,2k,1622 - 1735 Fourchette
Shine,Data Engineer,69k -76k,69k,76k,68937 - 75741 Fourchette
Galeries Lafayette,Data Engineer,46k -50k,46k,50k,45915 - 49954 Fourchette
